Configuration,Accuracy,F1,F2,Extraction,Time (s),Adapter
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_high_capacity_safe_NoRAG,0.68,0.6483035967148116,0.6668131185372564,1.0,0.5270534610748291,high_capacity_safe
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_balanced_safe_NoRAG,0.595,0.5853721682847897,0.5911111111111111,1.0,0.3692087423801422,balanced_safe
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_performance_safe_NoRAG,0.57,0.6027301587301587,0.5721082366934285,1.0,0.566388441324234,performance_safe
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_high_capacity_safe_RAG_top1_structured_contextual_diverse,0.55,0.5830443082487693,0.558443079829948,1.0,0.9316168785095216,high_capacity_safe
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_high_capacity_safe_RAG_top2_structured_pure_diverse,0.54,0.5740438871473353,0.5473214285714286,1.0,0.9085566866397856,high_capacity_safe
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_balanced_safe_NoRAG,0.465,0.4997033248081841,0.4587011159143461,1.0,0.8018232810497284,balanced_safe
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_high_capacity_safe_NoRAG,0.455,0.455,0.455,1.0,0.6858215987682342,high_capacity_safe
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_balanced_safe_RAG_top1_structured_contextual_diverse,0.41,0.4500358422939068,0.4028628033680039,1.0,1.000866253376007,balanced_safe
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_balanced_safe_RAG_top2_structured_pure_diverse,0.38,0.4175729646697388,0.3736106983655275,1.0,0.9850538873672484,balanced_safe
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_high_capacity_safe_NoRAG,0.37,0.4012216748768473,0.3568525972781292,1.0,0.7455849194526672,high_capacity_safe
