config_name,model_family,model_size,quantization,adapter_type,is_finetuned,rag_name,rag_chunking,rag_retrieval,rag_bias,rag_pass_at_5,has_rag,triage_accuracy,f1_score,f2_score,cases_evaluated,success_count,error_count,total_inference_time,avg_inference_time,rag_retrieval_time,rag_context_length,config_type
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_balanced_safe_NoRAG,SmolLM2-135M,4bit,unknown,balanced_safe,True,None,None,None,None,0.0,False,0.595,0.5853721682847897,0.5911111111111111,200,200,0,73.84174847602844,0.36920874238014223,0.0,0.0,Fine-tuned
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_balanced_safe_RAG_top1_structured_contextual_diverse,SmolLM2-135M,4bit,unknown,balanced_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.41,0.4500358422939068,0.40286280336800395,200,200,0,200.17325067520142,1.000866253376007,0.045238850116729734,7082.415,Fine-tuned + RAG
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_balanced_safe_RAG_top2_structured_pure_diverse,SmolLM2-135M,4bit,unknown,balanced_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.38,0.4175729646697388,0.3736106983655275,200,200,0,197.0107774734497,0.9850538873672485,0.007148641347885132,6909.075,Fine-tuned + RAG
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_balanced_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-135M,4bit,unknown,balanced_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.175,0.06739942925527019,0.10156684007795834,200,200,0,215.69791674613953,1.0784895837306976,0.5016756963729858,12635.875,Fine-tuned + RAG
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_high_capacity_safe_NoRAG,SmolLM2-135M,4bit,unknown,high_capacity_safe,True,None,None,None,None,0.0,False,0.68,0.6483035967148116,0.6668131185372564,200,200,0,105.41069221496582,0.5270534610748291,0.0,0.0,Fine-tuned
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_high_capacity_safe_RAG_top1_structured_contextual_diverse,SmolLM2-135M,4bit,unknown,high_capacity_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.55,0.5830443082487693,0.558443079829948,200,200,0,186.3233757019043,0.9316168785095215,0.0335236918926239,7082.415,Fine-tuned + RAG
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_high_capacity_safe_RAG_top2_structured_pure_diverse,SmolLM2-135M,4bit,unknown,high_capacity_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.54,0.5740438871473353,0.5473214285714286,200,200,0,181.71133732795715,0.9085566866397857,0.006277830600738526,6909.075,Fine-tuned + RAG
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_high_capacity_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-135M,4bit,unknown,high_capacity_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.185,0.09474900686168292,0.11735996579317083,200,200,0,214.6986792087555,1.0734933960437774,0.48402485966682435,12635.875,Fine-tuned + RAG
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_performance_safe_NoRAG,SmolLM2-135M,4bit,unknown,performance_safe,True,None,None,None,None,0.0,False,0.57,0.6027301587301587,0.5721082366934285,200,200,0,113.2776882648468,0.566388441324234,0.0,0.0,Fine-tuned
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_performance_safe_RAG_top1_structured_contextual_diverse,SmolLM2-135M,4bit,unknown,performance_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.31,0.32761354252683733,0.2904645983887518,200,200,0,192.54171466827393,0.9627085733413696,0.03208503007888794,7082.415,Fine-tuned + RAG
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_performance_safe_RAG_top2_structured_pure_diverse,SmolLM2-135M,4bit,unknown,performance_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.295,0.3136894765052707,0.2761990623873061,200,200,0,190.60919284820557,0.9530459642410278,0.006079448461532593,6909.075,Fine-tuned + RAG
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_performance_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-135M,4bit,unknown,performance_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.175,0.0881948650427913,0.11339477991213713,200,200,0,215.239910364151,1.076199551820755,0.4991027224063873,12635.875,Fine-tuned + RAG
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_ultra_safe_NoRAG,SmolLM2-135M,4bit,unknown,ultra_safe,True,None,None,None,None,0.0,False,0.08,0.05524828113063407,0.06570087383548784,200,200,0,167.48811388015747,0.8374405694007874,0.0,0.0,Fine-tuned
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_ultra_safe_RAG_top1_structured_contextual_diverse,SmolLM2-135M,4bit,unknown,ultra_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.3,0.3995480575762266,0.33038961624264823,200,200,0,198.74300861358643,0.9937150430679321,0.034273686408996584,7082.415,Fine-tuned + RAG
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_ultra_safe_RAG_top2_structured_pure_diverse,SmolLM2-135M,4bit,unknown,ultra_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.28,0.3525467889908257,0.29642154658873776,200,200,0,201.0240514278412,1.005120257139206,0.007386156320571899,6909.075,Fine-tuned + RAG
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_ultra_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-135M,4bit,unknown,ultra_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.14,0.08295498366664011,0.10136719959292169,200,200,0,211.62288546562195,1.0581144273281098,0.4673679792881012,12635.875,Fine-tuned + RAG
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_high_capacity_safe_NoRAG,SmolLM2-135M,8bit,unknown,high_capacity_safe,True,None,None,None,None,0.0,False,0.355,0.4443188925916432,0.38493798349762465,200,200,0,89.68373274803162,0.4484186637401581,0.0,0.0,Fine-tuned
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_high_capacity_safe_RAG_top1_structured_contextual_diverse,SmolLM2-135M,8bit,unknown,high_capacity_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.235,0.3134299124010912,0.25450570665598826,200,200,0,120.49721479415894,0.6024860739707947,0.03288639307022095,7082.415,Fine-tuned + RAG
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_high_capacity_safe_RAG_top2_structured_pure_diverse,SmolLM2-135M,8bit,unknown,high_capacity_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.21,0.272760346985456,0.2228696677604594,200,200,0,126.87194466590881,0.634359723329544,0.0061979138851165775,6909.075,Fine-tuned + RAG
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_high_capacity_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-135M,8bit,unknown,high_capacity_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.175,0.1413015399900646,0.1385112140378837,200,200,0,203.7927680015564,1.018963840007782,0.4740438163280487,12635.875,Fine-tuned + RAG
