config_name,model_family,model_size,quantization,adapter_type,is_finetuned,rag_name,rag_chunking,rag_retrieval,rag_bias,rag_pass_at_5,has_rag,triage_accuracy,f1_score,f2_score,cases_evaluated,success_count,error_count,total_inference_time,avg_inference_time,rag_retrieval_time,rag_context_length,config_type
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_balanced_safe_NoRAG,SmolLM2-135M,4bit,unknown,balanced_safe,True,None,None,None,None,0.0,False,0.595,0.6355555555555555,0.6809523809523809,200,200,0,74.96304988861084,0.3748152494430542,0.0,0.0,Fine-tuned
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_balanced_safe_RAG_top1_structured_contextual_diverse,SmolLM2-135M,4bit,unknown,balanced_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.41,0.4581349206349206,0.4163725490196078,200,200,0,197.2842526435852,0.986421263217926,0.0417588996887207,7082.415,Fine-tuned + RAG
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_balanced_safe_RAG_top2_structured_pure_diverse,SmolLM2-135M,4bit,unknown,balanced_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.38,0.4451555555555556,0.4036417033773862,200,200,0,203.52436566352844,1.0176218283176421,0.0076913535594940186,6909.075,Fine-tuned + RAG
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_balanced_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-135M,4bit,unknown,balanced_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.175,0.20857589984350547,0.19835740583404132,200,200,0,213.69507241249084,1.0684753620624543,0.5044506251811981,12635.875,Fine-tuned + RAG
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_high_capacity_safe_NoRAG,SmolLM2-135M,4bit,unknown,high_capacity_safe,True,None,None,None,None,0.0,False,0.68,0.6463918690005646,0.6659959223473096,200,200,0,106.95694637298584,0.5347847318649293,0.0,0.0,Fine-tuned
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_high_capacity_safe_RAG_top1_structured_contextual_diverse,SmolLM2-135M,4bit,unknown,high_capacity_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.55,0.5825100737100738,0.5647958323182729,200,200,0,185.07334852218628,0.9253667426109314,0.03265674829483032,7082.415,Fine-tuned + RAG
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_high_capacity_safe_RAG_top2_structured_pure_diverse,SmolLM2-135M,4bit,unknown,high_capacity_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.54,0.5794176245210728,0.5590982880755608,200,200,0,187.97146153450012,0.9398573076725006,0.006594521999359131,6909.075,Fine-tuned + RAG
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_high_capacity_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-135M,4bit,unknown,high_capacity_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.185,0.19474607645875253,0.18887835656205101,200,200,0,216.553551197052,1.08276775598526,0.4956977069377899,12635.875,Fine-tuned + RAG
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_performance_safe_NoRAG,SmolLM2-135M,4bit,unknown,performance_safe,True,None,None,None,None,0.0,False,0.57,0.6511641791044777,0.6353881942425124,200,200,0,121.99585747718811,0.6099792873859405,0.0,0.0,Fine-tuned
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_performance_safe_RAG_top1_structured_contextual_diverse,SmolLM2-135M,4bit,unknown,performance_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.31,0.3818992568125516,0.34323362508415883,200,200,0,201.6250867843628,1.008125433921814,0.04160490989685059,7082.415,Fine-tuned + RAG
