config_name,has_rag,triage_accuracy,f1_score,f2_score,cases_evaluated,success_count,total_failures,unknown_count,extraction_success_rate,avg_inference_time
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_balanced_safe_NoRAG,False,0.595,0.5853721682847897,0.5911111111111111,200,200,33,33,0.835,0.36920874238014223
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_balanced_safe_RAG_top1_structured_contextual_diverse,True,0.41,0.4500358422939068,0.40286280336800395,200,200,7,7,0.965,1.000866253376007
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_balanced_safe_RAG_top2_structured_pure_diverse,True,0.38,0.4175729646697388,0.3736106983655275,200,200,8,8,0.96,0.9850538873672485
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_balanced_safe_RAG_top3_contextual_sentence_diverse,True,0.175,0.06739942925527019,0.10156684007795834,200,200,18,18,0.91,1.0784895837306976
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_high_capacity_safe_NoRAG,False,0.68,0.6483035967148116,0.6668131185372564,200,200,1,1,0.995,0.5270534610748291
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_high_capacity_safe_RAG_top1_structured_contextual_diverse,True,0.55,0.5830443082487693,0.558443079829948,200,200,6,6,0.97,0.9316168785095215
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_high_capacity_safe_RAG_top2_structured_pure_diverse,True,0.54,0.5740438871473353,0.5473214285714286,200,200,6,6,0.97,0.9085566866397857
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_high_capacity_safe_RAG_top3_contextual_sentence_diverse,True,0.185,0.09474900686168292,0.11735996579317083,200,200,19,19,0.905,1.0734933960437774
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_performance_safe_NoRAG,False,0.57,0.6027301587301587,0.5721082366934285,200,200,16,16,0.92,0.566388441324234
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_performance_safe_RAG_top1_structured_contextual_diverse,True,0.31,0.32761354252683733,0.2904645983887518,200,200,14,14,0.9299999999999999,0.9627085733413696
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_performance_safe_RAG_top2_structured_pure_diverse,True,0.295,0.3136894765052707,0.2761990623873061,200,200,15,15,0.925,0.9530459642410278
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_performance_safe_RAG_top3_contextual_sentence_diverse,True,0.175,0.0881948650427913,0.11339477991213713,200,200,35,35,0.825,1.076199551820755
SmolLM2-135M_4bit_FineTuned_adapter_safe_triage_SmolLM2-135M_4bit_ultra_safe_NoRAG,False,0.08,0.05524828113063407,0.06570087383548784,200,200,115,115,0.42500000000000004,0.8374405694007874
